Problem,Policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime
ramsey2_04-04-02-SAT,baseline,0.040704,,0.0,0.040165,0.237,,1.0,0.0,1.0,0.0,1.0,8.4e-05
blockedqueens-strong_blockedqueens501642432118,2,383.075,0.005,0.0,383.007,1.332,0.0,1.0,0.0,2584832.0,0.0,1.0,0.00364
efpa_10,baseline,0.459284,,0.0,0.454707,0.942,,0.0,0.0,90752.0,0.0,0.0,0.001272
carSequencing_10,baseline,3590.76,,0.0,3590.73,1.561,,0.0,0.0,97404674.0,1.0,0.0,0.003282
sokoban_New16,2,0.135794,0.221,0.0,0.042806,0.814,1.0,1.0,0.0,14.0,0.0,1.0,0.006834
carSequencing_35,baseline,3591.28,,0.0,3591.2,2.053,,0.0,0.0,185914997.0,1.0,0.0,0.003432
killer_16-sol35,2,0.404837,4.493,0.0,0.034773,5.999,1.0,1.0,0.0,7.0,0.0,1.0,0.023932
RamseyNumbers_04-05-01-SAT,2,0.044063,0.0,0.0,0.044066,0.192,0.0,1.0,0.0,1.0,0.0,1.0,0.0
killer_16-sol70,2,0.229729,3.238,0.0,0.038471,4.785,1.0,1.0,0.0,2.0,0.0,1.0,0.018197
n-queens2_n_queens_32,baseline,121.771,,0.0,121.761,0.845,,1.0,0.0,3717955.0,0.0,1.0,0.0
blockedqueens_blockedqueens501642461924,2,1130.0,0.229,0.0,1129.88,1.34,1.0,0.0,0.0,7923038.0,0.0,0.0,0.002763
pegSolitaireTable_pegSolitaire5,2,69.5935,0.059,0.0,69.4829,1.882,0.0,1.0,0.0,434038.0,0.0,1.0,0.017614
blockedqueens_blockedqueens481721296090,baseline,3590.92,,0.0,3590.87,1.122,,0.0,0.0,33859110.0,1.0,0.0,0.0
blockedqueens_blockedqueens481721241353,2,0.008056,0.0,0.0,5.2e-05,1.028,0.0,0.0,0.0,0.0,0.0,0.0,0.000152
knapsack_items-95,2,260.174,0.012,0.0,260.173,0.439,0.0,1.0,0.0,35600926.0,0.0,103.0,0.000422
blockedqueens_blockedqueens481721285722,2,426.683,0.185,0.0,426.637,1.191,1.0,1.0,0.0,3827767.0,0.0,1.0,0.002283
sokoban_New71,baseline,0.070703,,0.0,0.070436,1.368,,1.0,0.0,7.0,0.0,1.0,0.000131
bibd-implied_puget6,baseline,0.051044,,0.0,0.04096,2.453,,1.0,0.0,276.0,0.0,1.0,0.002403
PlottingModelA_5_5_3_seed15_11_6,baseline,19.5674,,0.0,19.408,13.345,,1.0,0.0,32745.0,0.0,1.0,0.018406
blackhole_PN-27,2,482.06,0.213,0.0,477.29,5.065,1.0,1.0,0.0,9912020.0,0.0,1.0,0.00591
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens250,baseline,1267.1,,0.0,1267.1,5.336,,1.0,0.0,197783503.0,0.0,14.0,0.000134
opd_puget24,baseline,3590.65,,0.0,3590.61,3.573,,1.0,0.0,474805555.0,1.0,5.0,0.007236
opd_flener_et_al_tab7_5_35_10,2,0.020672,0.131,0.0,0.017146,1.141,1.0,1.0,0.0,5639.0,0.0,9.0,0.000147
blackhole_PN-54,baseline,3591.03,,0.0,3590.67,4.297,,0.0,0.0,261702994.0,1.0,0.0,0.004144
ramsey2_03-06-02-SAT,2,0.04038,0.0,0.0,0.040383,0.346,0.0,1.0,0.0,1.0,0.0,1.0,0.0
killer_16-sol71,2,1.0871,3.215,0.0,0.738476,4.58,1.0,1.0,0.0,3501.0,0.0,1.0,0.013931
sonet_sonet5,baseline,3590.86,,0.0,3590.86,0.769,,0.0,0.0,499329959.0,1.0,0.0,0.000622
blockedqueens_blockedqueens281449843764,baseline,0.02713,,0.0,0.016587,0.784,,0.0,0.0,319.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens281449849431,baseline,1.86865,,0.0,1.84922,0.838,,1.0,0.0,27305.0,0.0,1.0,0.000147
sudoku_sudoku9,2,0.038841,0.002,0.0,0.038452,0.557,0.0,1.0,0.0,3.0,0.0,1.0,0.000264
knights_12a,baseline,3591.02,,0.0,3590.87,2.584,,0.0,0.0,290996617.0,1.0,0.0,0.00105
blockedqueens_blockedqueens481721243039,2,30.0576,0.173,0.0,30.0085,1.223,1.0,0.0,0.0,187049.0,0.0,0.0,0.00127
blockedqueens_blockedqueens561860549527,baseline,3594.13,,0.0,3594.07,1.435,,0.0,0.0,25436523.0,1.0,0.0,0.001272
blockedqueens-strong_blockedqueens281449842745,2,0.007206,0.0,0.0,6e-05,0.819,0.0,0.0,0.0,0.0,0.0,0.0,8.3e-05
blockedqueens_blockedqueens501642402587,baseline,1330.79,,0.0,1330.74,1.147,,0.0,0.0,12762665.0,0.0,0.0,0.001371
carSequencing_57,baseline,3591.02,,0.0,3590.92,2.394,,0.0,0.0,92553732.0,1.0,0.0,0.00353
molnars_molnars-2-8,baseline,0.006592,,0.0,0.005118,0.364,,0.0,0.0,1268.0,0.0,0.0,0.0
pegSolitaireState_pegSolitaire4,2,3586.69,1.564,0.0,3586.49,7.367,1.0,0.0,0.0,9346069.0,1.0,0.0,0.02035
opd_flener_et_al_tab7_12_35_10,2,0.836408,0.53,0.0,0.797484,2.898,1.0,1.0,0.0,72448.0,0.0,8.0,0.005237
quasiGroup4NonIdempotent_quasiGroupX_23,baseline,3590.31,,0.0,3587.82,18.525,,0.0,0.0,10957616.0,1.0,0.0,0.05695
sedfnofix_19_1_C19_3_3_1,baseline,4.82757,,0.0,4.61558,1.737,,0.0,0.0,16805.0,0.0,0.0,0.003029
blackhole_PN-16,baseline,3590.49,,0.0,3589.89,4.645,,0.0,0.0,266919228.0,1.0,0.0,0.007178
AccordionTable_cards_13_05,baseline,3590.76,,0.0,3590.75,1.266,,0.0,0.0,94153959.0,1.0,0.0,0.0
graphColouring_mug88_25,baseline,213.012,,0.0,213.011,0.578,,1.0,0.0,107604677.0,0.0,1.0,0.0
sudoku_sudoku38,2,0.041404,0.002,0.0,0.040352,0.497,0.0,1.0,0.0,2.0,0.0,1.0,0.000163
blockedqueens_blockedqueens501642461676,baseline,3591.08,,0.0,3591.04,1.035,,0.0,0.0,37085384.0,1.0,0.0,0.00034
