Problem,Policy,SolverMemOut,SolverTotalTime,SATClauses,TabulationTime,SavileRowClauseOut,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
pegSolitaireTable_pegSolitaire15,2,0.0,13.12,445733.0,0.059,0.0,3.801,0.0,1.0,0.0,0.0,2093892.0,13206.0
blackhole_PN-97,2,0.0,0.04,40200.0,0.283,0.0,4.796,1.0,1.0,0.0,0.0,1444.0,10698.0
sendMoreMoney_sendMoreMoney,2,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens561860538387,baseline,0.0,11.18,7297.0,,0.0,1.885,,1.0,0.0,0.0,563185.0,2182.0
graphColouring_fpsol2,baseline,0.0,0.0,498.0,,0.0,3.34,,0.0,0.0,0.0,0.0,0.0
knights2_12b,baseline,0.0,2239.94,3316909.0,,0.0,13.302,,1.0,0.0,0.0,138740345.0,61231.0
carSequencing_13,2,0.0,2.2,4314674.0,5.673,0.0,16.875,1.0,1.0,0.0,0.0,44668.0,26237.0
AccordionTable_cards_11_01,baseline,0.0,0.13,34682.0,,0.0,1.26,,0.0,0.0,0.0,6914.0,4867.0
Bombastic_Bombastic4,baseline,0.0,0.0,884.0,,0.0,1.625,,1.0,0.0,0.0,56.0,226.0
sokoban_New76,baseline,0.0,0.0,756.0,,0.0,0.438,,1.0,0.0,0.0,5.0,151.0
blackhole_PN-42,2,0.0,0.12,40277.0,0.267,0.0,4.781,1.0,1.0,0.0,0.0,9087.0,10717.0
blackhole_PN-59,baseline,0.0,11.84,277940.0,,0.0,7.6,,1.0,0.0,0.0,379337.0,21582.0
blockedqueens-strong_blockedqueens281449789281,2,0.0,0.02,3494.0,0.004,0.0,1.143,0.0,1.0,0.0,0.0,946.0,1000.0
blockedqueens_blockedqueens481721262093,2,0.0,4.27,24502.0,0.195,0.0,2.019,1.0,0.0,0.0,0.0,184199.0,6857.0
knapsack_items-56,2,0.0,404.40000000000003,596041.0,0.003,0.0,3.227,0.0,1.0,0.0,0.0,2580410.0,5248.0
blockedqueens_blockedqueens481721330060,baseline,0.0,2.11,26411.0,,0.0,1.604,,1.0,0.0,0.0,100088.0,7436.0
PlottingModelB_7_7_6_seed15_42_6,baseline,0.0,0.45,563638.0,,0.0,17.957,,1.0,0.0,0.0,3846.0,26157.0
pegSolitaireState_pegSolitaire13,baseline,0.0,1.17,53814.0,,0.0,8.599,,1.0,0.0,0.0,72243.0,9811.0
blockedqueens_blockedqueens281449802061,baseline,0.0,0.08,9080.0,,0.0,0.974,,1.0,0.0,0.0,4086.0,2625.0
RamseyNumbers_03-04-02-SAT,2,0.0,0.0,0.0,0.0,0.0,0.201,0.0,1.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens481721272449,2,0.0,3.3,6441.0,0.005,0.0,1.639,0.0,1.0,0.0,0.0,162395.0,1890.0
blockedqueens-strong_blockedqueens561860512568,2,0.0,1.15,5494.0,0.027,0.0,2.006,0.0,0.0,0.0,0.0,59594.0,1505.0
blockedqueens-strong_blockedqueens281449791733,2,0.0,0.02,3525.0,0.003,0.0,1.203,0.0,1.0,0.0,0.0,1060.0,1049.0
AccordionTable_cards_16_03,2,0.0,10.16,83958.0,0.199,0.0,2.328,1.0,0.0,0.0,0.0,363404.0,10196.0
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens274,2,0.0,48.06,15559.0,0.162,0.0,3.36,1.0,1.0,0.0,0.0,2027244.0,886.0
golfers1_ThomasKirkman,2,0.0,15.21,1455773.0,7.673,0.0,16.926,1.0,1.0,0.0,0.0,88956.0,220899.0
RamseyNumbers_02-04-01-SAT,2,0.0,0.0,0.0,0.0,0.0,0.162,0.0,1.0,0.0,0.0,0.0,0.0
nlinkedopt_opt36,baseline,0.0,708.85,105563.0,,0.0,1.299,,1.0,0.0,0.0,31023569.0,5625.0
killer_16-sol31,baseline,0.0,0.04,45993.0,,0.0,2.302,,1.0,0.0,0.0,1890.0,8635.0
pegSolitaireTable_pegSolitaire4_34,baseline,0.0,2.04,416202.0,,0.0,3.91,,1.0,0.0,0.0,487939.0,12323.0
Bombastic_Bombastic7,baseline,0.0,0.0,0.0,,0.0,1.966,,1.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens281449850700,2,0.0,0.01,2851.0,0.003,0.0,1.274,0.0,0.0,0.0,0.0,579.0,808.0
blockedqueens-strong_blockedqueens501642446851,baseline,0.0,0.17,5786.0,,0.0,1.579,,0.0,0.0,0.0,8346.0,1715.0
blockedqueens_blockedqueens481721237798,baseline,0.0,1.2,24894.0,,0.0,1.787,,0.0,0.0,0.0,44002.0,6968.0
sonet_sonet5,2,0.0,0.29,7050.0,0.035,0.0,0.953,0.0,0.0,0.0,0.0,24207.0,1036.0
sudoku_sudoku34,2,0.0,0.0,0.0,0.021,0.0,0.475,0.0,1.0,0.0,0.0,0.0,0.0
pegSolitaireState_pegSolitaire4_4,baseline,0.0,16.83,49306.0,,0.0,8.357,,1.0,0.0,0.0,785719.0,8991.0
blackhole_PN-95,baseline,0.0,13.19,275586.0,,0.0,6.518,,1.0,0.0,0.0,389070.0,21702.0
sokoban_New59,2,0.0,0.0,0.0,0.0,0.0,0.495,0.0,1.0,0.0,0.0,0.0,0.0
carSequencing_11,baseline,0.0,0.14,232495.0,,0.0,7.617,,1.0,0.0,0.0,12933.0,24757.0
blockedqueens-strong_blockedqueens561860450262,2,0.0,2.37,7498.0,0.025,0.0,1.976,0.0,1.0,0.0,0.0,144016.0,2171.0
blockedqueens-strong_blockedqueens481721350851,2,0.0,2.06,6428.0,0.024,0.0,1.563,0.0,1.0,0.0,0.0,90884.0,1874.0
ramsey1_02-06-01-SAT,2,0.0,0.0,0.0,0.0,0.0,0.206,0.0,1.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens481721258111,baseline,,,,,0.0,1200.001,,,1.0,,,
blockedqueens_blockedqueens561860436781,2,0.0,1.82,32914.0,0.258,0.0,2.403,1.0,0.0,0.0,0.0,74371.0,9524.0
bibd_puget4,baseline,0.0,0.05,21375.0,,0.0,2.114,,1.0,0.0,0.0,4158.0,3199.0
sonet2_sonet8-5,2,0.0,830.99,12773.0,0.054,0.0,1.342,0.0,1.0,0.0,0.0,22013280.0,1835.0
blockedqueens_blockedqueens281449796386,2,0.0,0.02,9040.0,0.157,0.0,1.278,1.0,0.0,0.0,0.0,782.0,2616.0
blackhole_PN-6,baseline,0.0,13.05,291737.0,,0.0,5.38,,1.0,0.0,0.0,437204.0,22503.0
sudoku_sudoku38,baseline,0.0,0.0,20.0,,0.0,0.514,,1.0,0.0,0.0,1.0,6.0
futoshiki_futoshiki46,2,0.0,0.0,26.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,0.0,0.0
quasiGroup5NonIdempotent_quasiGroupX_10,2,0.0,174.28,53437.0,49.848,0.0,52.274,1.0,1.0,0.0,0.0,4813212.0,6946.0
blockedqueens_blockedqueens481721243100,baseline,0.0,0.48,23501.0,,0.0,1.652,,0.0,0.0,0.0,19540.0,6554.0
blockedqueens-strong_blockedqueens281449843201,baseline,0.0,0.15,3516.0,,0.0,1.039,,0.0,0.0,0.0,8120.0,1024.0
efpa_20,2,0.0,2779.72,23614.0,0.857,0.0,3.161,1.0,0.0,0.0,0.0,53638030.0,3996.0
bpmp_7750,2,0.0,44.65,368213.0,1.444,0.0,3.58,1.0,1.0,0.0,0.0,1198405.0,56473.0
bibd_puget9,baseline,0.0,0.04,20611.0,,0.0,2.044,,1.0,0.0,0.0,6960.0,4191.0
sokoban_New75,baseline,0.0,0.0,7976.0,,0.0,0.56,,1.0,0.0,0.0,112.0,1117.0
sokoban_New14,2,0.0,0.02,26828.0,0.163,0.0,0.885,1.0,1.0,0.0,0.0,606.0,443.0
ramsey1_02-08-01-SAT,baseline,0.0,0.0,0.0,,0.0,0.182,,1.0,0.0,0.0,0.0,0.0
sonet2_sonet4-4,baseline,0.0,0.54,6717.0,,0.0,1.086,,1.0,0.0,0.0,36251.0,1142.0
blockedqueens_blockedqueens481721248954,baseline,0.0,2.59,25687.0,,0.0,1.684,,0.0,0.0,0.0,105550.0,7165.0
sokoban_New90,baseline,0.0,0.0,6156.0,,0.0,0.684,,1.0,0.0,0.0,24.0,923.0
knights_08a,baseline,0.0,15.05,43101.0,,0.0,2.167,,1.0,0.0,0.0,1618554.0,10077.0
sonet2_sonet2-4,baseline,0.0,0.04,4323.0,,0.0,0.841,,1.0,0.0,0.0,5725.0,819.0
pegSolitaireState_pegSolitaire7,2,0.0,80.25,1108822.0,0.96,0.0,9.25,1.0,1.0,0.0,0.0,5638100.0,13540.0
ramsey1_02-10-01-SAT,2,0.0,0.0,0.0,0.0,0.0,0.192,0.0,1.0,0.0,0.0,0.0,0.0
graphColouring_fpsol2_i_3,2,0.0,26.43,2971222.0,0.042,0.0,36.058,0.0,1.0,0.0,0.0,10334536.0,543721.0
blockedqueens_blockedqueens281449800707,baseline,0.0,0.1,9350.0,,0.0,0.922,,0.0,0.0,0.0,5414.0,2688.0
blockedqueens_blockedqueens501642458995,baseline,0.0,5.31,27101.0,,0.0,1.626,,0.0,0.0,0.0,229027.0,7616.0
blackhole_PN-99,2,0.0,0.12,40300.0,0.253,0.0,5.523,1.0,1.0,0.0,0.0,6656.0,10721.0
blockedqueens-strong_blockedqueens561860512568,baseline,0.0,1.13,5494.0,,0.0,1.762,,0.0,0.0,0.0,63474.0,1505.0
sudoku_sudoku4,baseline,0.0,0.0,0.0,,0.0,0.55,,1.0,0.0,0.0,0.0,0.0
blockedqueens_blockedqueens501642462836,2,0.0,0.75,28622.0,0.207,0.0,1.87,1.0,1.0,0.0,0.0,23896.0,8226.0
blockedqueens_blockedqueens481721272449,baseline,0.0,1.33,25299.0,,0.0,1.447,,1.0,0.0,0.0,66707.0,7079.0
blockedqueens-strong_blockedqueens281449840726,2,0.0,0.04,3509.0,0.003,0.0,1.253,0.0,0.0,0.0,0.0,2815.0,1037.0
blockedqueens_blockedqueens501642407126,baseline,0.0,1.96,27999.0,,0.0,1.654,,0.0,0.0,0.0,77474.0,8022.0
blockedqueens-strong_blockedqueens281449793947,2,0.0,0.04,3536.0,0.004,0.0,1.308,0.0,0.0,0.0,0.0,2098.0,1070.0
Bombastic_Bombastic13,baseline,0.0,0.0,0.0,,0.0,1.216,,1.0,0.0,0.0,0.0,0.0
blockedqueens_blockedqueens481721282821,baseline,0.0,0.58,25382.0,,0.0,1.729,,1.0,0.0,0.0,20150.0,7222.0
RamseyNumbers_02-07-01-SAT,2,0.0,0.0,0.0,0.0,0.0,0.178,0.0,1.0,0.0,0.0,0.0,0.0
efpa_6,2,0.0,70.94,261695.0,2.123,0.0,11.316,1.0,0.0,0.0,0.0,932137.0,36924.0
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens250,2,0.0,59.03,15667.0,0.166,0.0,3.003,1.0,1.0,0.0,0.0,2205656.0,894.0
pegSolitaireTable_pegSolitaire3_3,2,0.0,20.93,428291.0,0.072,0.0,4.032,0.0,1.0,0.0,0.0,2502692.0,12678.0
blockedqueens_blockedqueens281449788237,2,0.0,0.17,9452.0,0.148,0.0,1.315,1.0,0.0,0.0,0.0,7684.0,2665.0
handball7_17,2,0.0,4.84,355712.0,1.007,0.0,13.743,1.0,1.0,0.0,0.0,159755.0,26180.0
RamseyNumbers_03-09-01-SAT,2,0.0,0.0,0.0,0.0,0.0,0.185,0.0,1.0,0.0,0.0,0.0,0.0
carSequencing_53,2,0.0,3.54,6358847.0,6.173,0.0,22.774,1.0,1.0,0.0,0.0,50616.0,32467.0
sokoban_New85,baseline,0.0,0.0,2551.0,,0.0,0.574,,1.0,0.0,0.0,64.0,395.0
efpa_11,baseline,0.0,1.26,18238.0,,0.0,1.781,,1.0,0.0,0.0,75503.0,3185.0
discreteTomography_2,baseline,0.0,0.0,0.0,,0.0,0.341,,1.0,0.0,0.0,0.0,0.0
handball7_10,baseline,0.0,1.49,281302.0,,0.0,10.111,,1.0,0.0,0.0,74709.0,21287.0
pegSolitaireAction_pegSolitaire17,baseline,0.0,477.64,117940.0,,0.0,20.705,,1.0,0.0,0.0,14590462.0,10302.0
blockedqueens-strong_blockedqueens481721325287,baseline,0.0,0.73,6416.0,,0.0,1.485,,1.0,0.0,0.0,34007.0,1980.0
pegSolitaireTable_pegSolitaire3_30,baseline,0.0,8.31,451057.0,,0.0,3.523,,1.0,0.0,0.0,1561311.0,13253.0
RamseyNumbers_03-08-01-SAT,2,0.0,0.0,0.0,0.0,0.0,0.164,0.0,1.0,0.0,0.0,0.0,0.0
knapsack_items-64,2,0.0,416.34000000000003,779466.0,0.002,0.0,3.773,0.0,1.0,0.0,0.0,1937457.0,6232.0
quasiGroup7_quasiGroupX_12,2,0.0,1436.38,113482.0,0.24,0.0,2.77,1.0,0.0,0.0,0.0,12889387.0,10704.0
blackhole_PN-50,2,0.0,0.18,39949.0,0.233,0.0,5.584,1.0,1.0,0.0,0.0,11699.0,10647.0
blockedqueens_blockedqueens281449802710,baseline,0.0,0.03,9070.0,,0.0,1.279,,0.0,0.0,0.0,1405.0,2597.0
sedfnofix_28_2_C28_4_3_1,baseline,0.0,148.96,383694.0,,0.0,17.283,,0.0,0.0,0.0,281613.0,110618.0
futoshiki_futoshiki1,baseline,0.0,0.0,0.0,,0.0,0.265,,1.0,0.0,0.0,0.0,0.0
Bombastic_Bombastic151,2,0.0,0.0,0.0,0.0,0.0,1.019,0.0,1.0,0.0,0.0,0.0,0.0
sportsScheduling_12-10-10,baseline,0.0,5.36,55309.0,,0.0,2.285,,1.0,0.0,0.0,502417.0,14511.0
blockedqueens-strong_blockedqueens481721328985,2,0.0,1.27,6495.0,0.005,0.0,1.657,0.0,1.0,0.0,0.0,60685.0,1948.0
bibd-implied_puget9,baseline,0.0,0.06,22324.0,,0.0,2.319,,1.0,0.0,0.0,7225.0,4498.0
grocery_grocery,2,0.0,23.77,30613265.0,0.163,0.0,83.151,1.0,1.0,0.0,0.0,206402.0,9350529.0
killer_16-sol47,baseline,0.0,0.09,54774.0,,0.0,2.664,,1.0,0.0,0.0,6628.0,9048.0
ramsey2_03-04-02-SAT,baseline,0.0,0.0,0.0,,0.0,0.207,,1.0,0.0,0.0,0.0,0.0
blockedqueens_blockedqueens561860436781,baseline,0.0,1.59,32914.0,,0.0,1.607,,0.0,0.0,0.0,74790.0,9524.0
AccordionTable_cards_12_04,2,0.0,1.45,41554.0,0.175,0.0,1.682,1.0,0.0,0.0,0.0,88737.0,5259.0
blockedqueens-strong_blockedqueens561860517914,baseline,0.0,8.0,7242.0,,0.0,1.738,,0.0,0.0,0.0,334461.0,2060.0
graphColouring_myciel5,baseline,0.0,7.32,13030.0,,0.0,0.775,,1.0,0.0,0.0,798566.0,2013.0
molnars_molnars-3-6,2,,,,0.514,0.0,1200.013,1.0,,1.0,,,
sudoku_sudoku12,2,0.0,0.0,0.0,0.003,0.0,0.568,0.0,1.0,0.0,0.0,0.0,0.0
golfers3_ord04-9-5-2,baseline,0.0,0.02,13780.0,,0.0,3.553,,1.0,0.0,0.0,1453.0,3475.0
blockedqueens-strong_blockedqueens501642405538,baseline,0.0,0.16,5627.0,,0.0,1.63,,0.0,0.0,0.0,8472.0,1572.0
blockedqueens_blockedqueens501642432462,2,0.0,3.85,28711.0,0.219,0.0,1.944,1.0,0.0,0.0,0.0,152263.0,8260.0
Bombastic_Bombastic56,2,0.0,0.01,22134.0,0.144,0.0,1.679,1.0,1.0,0.0,0.0,25.0,877.0
killer_16-sol16,baseline,0.0,0.58,54822.0,,0.0,2.296,,1.0,0.0,0.0,33840.0,9240.0
PlottingModelA_5_5_3_seed15_16_8,baseline,0.0,0.08,94162.0,,0.0,24.641,,1.0,0.0,0.0,746.0,13133.0
knapsack_items-80,baseline,0.0,3212.81,2529436.0,,0.0,5.151,,1.0,0.0,0.0,6184432.0,10715.0
opd_small_bibd_06_60_30,baseline,0.0,3.04,46958.0,,0.0,2.786,,1.0,0.0,0.0,200904.0,7219.0
sokoban_New30,baseline,0.0,0.0,1014.0,,0.0,0.455,,1.0,0.0,0.0,9.0,192.0
blockedqueens_blockedqueens481721261794,baseline,0.0,0.24,24346.0,,0.0,1.579,,1.0,0.0,0.0,9195.0,6901.0
blackhole_PN-84,2,0.0,0.03,39846.0,0.227,0.0,6.301,1.0,1.0,0.0,0.0,1486.0,10616.0
blockedqueens-strong_blockedqueens281449842745,baseline,0.0,0.0,85.0,,0.0,0.758,,0.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens481721326807,2,0.0,1.1,6414.0,0.023,0.0,1.732,0.0,1.0,0.0,0.0,57917.0,1903.0
blockedqueens_blockedqueens281449802653,baseline,0.0,0.01,9307.0,,0.0,1.064,,1.0,0.0,0.0,282.0,2659.0
blockedqueens-strong_blockedqueens501642426889,baseline,0.0,0.12,4611.0,,0.0,1.58,,0.0,0.0,0.0,6763.0,1286.0
carSequencing_25,2,0.0,1.92,3480902.0,4.895,0.0,16.693,1.0,1.0,0.0,0.0,59563.0,27705.0
