Problem,Policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes
PlottingModelB_5_5_3_seed15_20_3,2,,,0.0,1200.002,1.0,,1.0,,
blockedqueens_blockedqueens281449797615,baseline,1.06,,0.0,0.788,,1.0,0.0,0.0,5832.0
nlinkedopt_opt34,baseline,3600.107,,0.0,3.46,,1.0,0.0,1.0,2073481.0
blockedqueens-strong_blockedqueens501642416461,2,109.428,0.02,0.0,1.419,0.0,1.0,0.0,0.0,231765.0
pegSolitaireAction_pegSolitaire23,2,2.455,8.611,0.0,29.159,1.0,1.0,0.0,0.0,138347.0
knapsack_items-71,baseline,300.691,,0.0,0.271,,1.0,0.0,0.0,7442291.0
sonet2_sonet4,baseline,0.938,,0.0,0.83,,1.0,0.0,0.0,32660.0
killer_16-sol68,2,1.263,4.517,0.0,5.837,1.0,1.0,0.0,0.0,4119.0
sudoku_sudoku37,baseline,0.001,,0.0,0.515,,1.0,0.0,0.0,1.0
futoshiki_futoshiki20,baseline,0.001,,0.0,0.285,,1.0,0.0,0.0,5.0
molnars_molnars-2-4,baseline,0.006,,0.0,0.233,,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens481721310593,baseline,32.442,,0.0,1.738,,1.0,0.0,0.0,71382.0
blockedqueens-strong_blockedqueens501642451447,baseline,12.953,,0.0,1.415,,0.0,0.0,0.0,61047.0
peaceableArmyOfQueens_paq5,2,0.034,0.117,0.0,1.158,1.0,1.0,0.0,0.0,1258.0
opd_small_bibd_06_60_30,baseline,2.121,,0.0,1.427,,1.0,0.0,0.0,65088.0
blockedqueens_blockedqueens481721291338,baseline,18.184,,0.0,1.105,,1.0,0.0,0.0,66632.0
blockedqueens-strong_blockedqueens501642447595,2,149.937,0.016,0.0,1.436,0.0,1.0,0.0,0.0,306495.0
blockedqueens-strong_blockedqueens501642458069,baseline,0.034,,0.0,1.348,,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens281449787798,baseline,0.241,,0.0,0.842,,0.0,0.0,0.0,1848.0
blockedqueens_blockedqueens501642418924,baseline,10.007,,0.0,1.079,,1.0,0.0,0.0,46704.0
bpmp_4629,2,172.407,0.957,0.0,5.053,1.0,1.0,0.0,0.0,60697.0
AccordionTable_cards_11_02,baseline,0.458,,0.0,1.086,,0.0,0.0,0.0,11331.0
Bombastic_Bombastic60,2,0.0,0.0,0.0,1.109,0.0,1.0,0.0,0.0,1.0
sportsScheduling_12-10-3,2,10.583,0.19,0.0,1.64,1.0,1.0,0.0,0.0,50257.0
blockedqueens_blockedqueens561860463594,baseline,0.017,,0.0,0.886,,0.0,0.0,0.0,0.0
Bombastic_Bombastic26,baseline,0.017,,0.0,1.792,,1.0,0.0,0.0,1.0
magicSequence_magicSequence350,baseline,0.127,,0.0,527.947,,1.0,0.0,0.0,206.0
pegSolitaireState_pegSolitaire18,baseline,1154.834,,0.0,9.419,,1.0,0.0,0.0,4320247.0
sportsScheduling_12-10-3,2,11.098,0.232,0.0,1.778,1.0,1.0,0.0,0.0,50257.0
sokoban_New45,baseline,0.002,,0.0,0.491,,1.0,0.0,0.0,15.0
opd_flener_et_al_tab4_08_14_07,2,0.17,0.392,0.0,1.409,1.0,1.0,0.0,0.0,2437.0
sedfnofix_28_2_C28_4_3_1,baseline,1134.484,,0.0,13.186,,0.0,0.0,0.0,616474.0
bibd-implied_puget3,2,0.127,1.243,0.0,3.02,1.0,1.0,0.0,0.0,34.0
carSequencing_54,2,3601.326,6.071,0.0,10.229,1.0,0.0,0.0,1.0,5593237.0
peaceableArmyOfQueens2_peaceableArmyQueens8,baseline,635.822,,0.0,2.076,,1.0,0.0,0.0,4141528.0
blockedqueens_blockedqueens501642398261,2,405.108,0.215,0.0,1.411,1.0,1.0,0.0,0.0,555191.0
