Problem,Policy,Num_cons,thresh_overlap,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime
blockedqueens-strong_blockedqueens501642414353,Sets,3,0.0,328.533,0.883,0.0,328.473,2.126,1.0,0.0,2949186.0,0.0,1.0,0.002266
knights2_20b,Sets,3,0.75,,,0.0,,1200.001,,1.0,,,,
quasiGroup4NonIdempotent_quasiGroupX_21,Sets,2,0.25,,,0.0,,1200.142,,1.0,,,,
quasiGroup3NonIdempotent_quasiGroupX_14,Sets,3,0.25,,,0.0,,1200.001,,1.0,,,,
magicSequence_magicSequence100,Sets,1,0.5,0.042973,0.402,0.0,0.038358,2.429,1.0,0.0,1.0,0.0,1.0,0.0
blockedqueens-strong_blockedqueens501642417160,Sets,2,1.0,228.632,0.04,0.0,228.578,1.002,1.0,0.0,2188309.0,0.0,1.0,0.003161
knapsack_items-75,Sets,2,0.25,3591.22,0.067,0.0,3591.22,0.333,1.0,0.0,794686935.0,1.0,132.0,0.000153
knights2_09b,Sets,1,1.0,0.015858,4.655,0.0,6.3e-05,7.144,0.0,0.0,0.0,0.0,0.0,0.004021
magicSquare_magicSquare5,Sets,1,0.75,0.073701,0.228,0.0,0.071448,0.496,1.0,0.0,3416.0,0.0,1.0,0.000293
knapsack_items-65,Sets,1,0.5,3591.56,0.063,0.0,3591.55,0.321,1.0,0.0,935081556.0,1.0,85.0,0.000146
sudoku_sudoku45,2,-1,-1.0,0.042683,0.002,0.0,0.042684,0.57,1.0,0.0,2.0,0.0,1.0,0.0
blockedqueens_blockedqueens281449803244,Sets,2,0.5,2.2035,3.762,0.0,2.1935,4.269,1.0,0.0,46427.0,0.0,1.0,0.0
knapsack_items-78,Sets,3,0.75,1774.26,0.026,0.0,1774.26,0.355,1.0,0.0,266913629.0,0.0,102.0,0.000382
opd_flener_et_al_tab6_10_38_28,Sets,2,0.25,110.41,28.715,0.0,110.373,30.592,1.0,0.0,13690510.0,0.0,9.0,0.004375
sonet2_sonet2-5,Sets,2,0.0,37.0773,77.812,0.0,35.9617,78.621,1.0,0.0,276602.0,0.0,1.0,0.13798
blackhole_PN-46,Sets,3,0.75,3590.42,37.6,0.0,3584.88,41.015,0.0,0.0,37915242.0,1.0,0.0,0.009444
knights2_12a,Sets,2,1.0,0.806568,100.452,0.0,0.052622,105.868,1.0,0.0,126.0,0.0,1.0,0.029007
nurse_nurse_8,Sets,3,0.5,0.000646,0.005,0.0,1e-05,0.474,0.0,0.0,0.0,0.0,0.0,3.5e-05
